,walks,hits,hr,runs,rbi,sb,post_ab,post_h,post_games,assists,po,errors,as_games,mvp,gg,ws_wins,ws_losses,gp,firstyear,OBP,SLG,AVG,L,R,R,2B,3B,CATCHER,CF,DH,LF,RF,SS,prob,inducted,playerID,nameFirst,nameLast
43,1319,2023,160,1300,819,177,46.0,10.0,13.0,3491,3564,236,0.0,0.0,0.0,1.0,1.0,2161,2005,0.37429487888507906,0.388998293291322,0.26559012734672444,0,0,1,1,0,0,0,0,0,0,0,0.02,,phillto02,Tony,Phillips
44,491,1173,234,630,760,30,80.0,23.0,23.0,566,1676,86,2.0,1.0,0.0,1.0,2.0,1223,2004,0.36024712398806985,0.5198355104015482,0.28374455732946297,0,1,1,0,0,0,0,0,1,0,0,0.02,0.0,mitchke01,Kevin,Mitchell
48,1197,2099,275,1188,1073,50,61.0,12.0,16.0,373,4881,51,1.0,0.0,0.0,0.0,0.0,2344,1998,0.3703103038166288,0.4253151661785305,0.2672863873678849,0,1,1,0,0,0,0,1,0,0,0,0.03,,downibr01,Brian,Downing
49,718,1553,255,985,870,284,78.0,22.0,21.0,41,2523,63,0.0,1.0,0.0,2.0,0.0,1635,2001,0.351575456053068,0.46326319420489825,0.26785098309761984,1,0,0,0,0,0,0,0,1,0,0,0.01,,gibsoki01,Kirk,Gibson
50,770,1651,321,1080,1008,243,189.0,43.0,52.0,642,3203,114,2.0,0.0,0.0,0.0,2.0,1832,2009,0.3356595511767926,0.46766940610947433,0.2560086835168243,0,1,1,0,0,0,0,0,1,0,0,0.0,,gantro01,Ron,Gant
51,721,2195,75,1030,744,189,49.0,11.0,12.0,990,13067,149,3.0,0.0,0.0,0.0,0.0,2085,2016,0.3658395845354876,0.3781303264717451,0.28779336567457714,0,1,1,0,0,1,0,0,0,0,0,0.03,,kendaja01,Jason,Kendall
52,762,1981,242,964,1013,137,149.0,42.0,40.0,136,4073,59,2.0,0.0,1.0,1.0,2.0,2039,1992,0.3468851638729047,0.43178305465786143,0.2783476183785303,0,1,1,0,0,0,0,0,1,0,0,0.0,,bakerdu01,Dusty,Baker
55,779,2342,252,996,1185,23,0.0,0.0,0.0,1731,11618,169,8.0,1.0,1.0,0.0,0.0,2209,1983,0.364815657715066,0.4521209042418085,0.2974345948691897,0,1,1,0,0,1,0,0,0,0,0,0.09,,torrejo01,Joe,Torre
56,396,1660,54,713,593,74,13.0,4.0,5.0,3965,3466,134,4.0,0.0,0.0,0.0,0.0,1822,1983,0.30601415094339623,0.3369789190045966,0.2631161832303059,0,1,1,1,0,0,0,0,0,0,0,0.01,0.0,rojasco01,Cookie,Rojas
57,445,1186,167,644,616,36,103.0,24.0,27.0,1753,1706,125,0.0,0.0,0.0,0.0,0.0,1265,2017,0.33629541864139023,0.44155555555555553,0.26355555555555554,0,1,1,0,1,0,0,0,0,0,0,0.0,,blakeca01,Casey,Blake
